GeneSymbol	accession
ENSG00000266575	BOLA2P1	ENSG00000266575
ENSG00000264179	AP000894.1	ENSG00000264179
ENSG00000265671	AP000894.3	ENSG00000265671
ENSG00000265179	AP000894.2	ENSG00000265179
ENSG00000141433	ADCYAP1	ENSG00000141433
ENSG00000259837	LINC01904	ENSG00000259837
ENSG00000272461	AP005328.2	ENSG00000272461
ENSG00000263551	AP005328.1	ENSG00000263551
ENSG00000263505	AP005265.1	ENSG00000263505
ENSG00000266251	COX6CP3	ENSG00000266251
ENSG00000132204	LINC00470	ENSG00000132204
ENSG00000199197	RN7SKP72	ENSG00000199197
ENSG00000263396	AP005119.1	ENSG00000263396
ENSG00000265417	AP005119.2	ENSG00000265417
ENSG00000266602	AC008109.1	ENSG00000266602
ENSG00000266450	AC019183.1	ENSG00000266450
ENSG00000264080	AP005057.1	ENSG00000264080
ENSG00000263745	AP005230.1	ENSG00000263745
ENSG00000264189	AP005262.1	ENSG00000264189
ENSG00000101574	METTL4	ENSG00000101574
ENSG00000238575	snoU109	ENSG00000238575
ENSG00000266783	AP005136.2	ENSG00000266783
ENSG00000264150	AP005136.1	ENSG00000264150
ENSG00000080986	NDC80	ENSG00000080986
ENSG00000235422	KATNBL1P3	ENSG00000235422
ENSG00000202224	Y_RNA	ENSG00000202224
ENSG00000200875	RNU6-340P	ENSG00000200875
ENSG00000266405	CBX3P2	ENSG00000266405
ENSG00000101596	SMCHD1	ENSG00000101596
ENSG00000266049	AP001011.1	ENSG00000266049
ENSG00000207034	Y_RNA	ENSG00000207034
ENSG00000132205	EMILIN2	ENSG00000132205
ENSG00000101577	LPIN2	ENSG00000101577
ENSG00000272625	AP000919.4	ENSG00000272625
ENSG00000263606	AP000919.1	ENSG00000263606
ENSG00000265907	AP000919.2	ENSG00000265907
ENSG00000266397	AP000919.3	ENSG00000266397
ENSG00000264186	SNRPCP4	ENSG00000264186
ENSG00000277447	AP005431.1	ENSG00000277447
ENSG00000252258	SNORA70	ENSG00000252258
ENSG00000101605	MYOM1	ENSG00000101605
ENSG00000252353	RNU7-25P	ENSG00000252353
ENSG00000265399	AP005329.2	ENSG00000265399
ENSG00000272688	AP005329.3	ENSG00000272688
ENSG00000101608	MYL12A	ENSG00000101608
ENSG00000264235	AP005329.1	ENSG00000264235
ENSG00000118680	MYL12B	ENSG00000118680
ENSG00000266578	AP001025.3	ENSG00000266578
ENSG00000259256	LINC01895	ENSG00000259256
ENSG00000240364	AP001025.1	ENSG00000240364
ENSG00000265243	IGLJCOR18	ENSG00000265243
ENSG00000243720	AP001025.2	ENSG00000243720
ENSG00000177426	TGIF1	ENSG00000177426
ENSG00000263460	BOD1P1	ENSG00000263460
ENSG00000266835	GAPLINC	ENSG00000266835
ENSG00000170579	DLGAP1	ENSG00000170579
ENSG00000241223	RN7SL39P	ENSG00000241223
ENSG00000266373	AP002472.1	ENSG00000266373
ENSG00000177337	DLGAP1-AS1	ENSG00000177337
ENSG00000262001	DLGAP1-AS2	ENSG00000262001
ENSG00000266401	AP002478.1	ENSG00000266401
ENSG00000266513	AP002478.2	ENSG00000266513
ENSG00000263724	DLGAP1-AS3	ENSG00000263724
ENSG00000275518	MIR6718	ENSG00000275518
ENSG00000207278	RNU6-831P	ENSG00000207278
ENSG00000263878	DLGAP1-AS4	ENSG00000263878
ENSG00000250933	GAPDHP66	ENSG00000250933
ENSG00000261520	DLGAP1-AS5	ENSG00000261520
ENSG00000264246	AP005208.1	ENSG00000264246
ENSG00000265545	AP005403.1	ENSG00000265545
ENSG00000266268	AP005203.1	ENSG00000266268
ENSG00000264775	PPIAP14	ENSG00000264775
ENSG00000265514	LINC01892	ENSG00000265514
ENSG00000215368	BOD1P2	ENSG00000215368
ENSG00000231824	AKAIN1	ENSG00000231824
ENSG00000266153	AP005380.1	ENSG00000266153
ENSG00000265091	AP001496.2	ENSG00000265091
ENSG00000264575	LINC00526	ENSG00000264575
ENSG00000263753	LINC00667	ENSG00000263753
ENSG00000265188	AP001496.3	ENSG00000265188
ENSG00000198081	ZBTB14	ENSG00000198081
ENSG00000264254	AP001496.1	ENSG00000264254
ENSG00000266288	AP005671.1	ENSG00000266288
ENSG00000082397	EPB41L3	ENSG00000082397
ENSG00000265316	AP005059.2	ENSG00000265316
ENSG00000264000	AP005059.1	ENSG00000264000
ENSG00000261738	MIR3976HG	ENSG00000261738
ENSG00000272380	MIR3976	ENSG00000272380
ENSG00000206432	TMEM200C	ENSG00000206432
ENSG00000264449	AP005433.1	ENSG00000264449
ENSG00000154655	L3MBTL4	ENSG00000154655
ENSG00000265487	AP001021.1	ENSG00000265487
ENSG00000200637	RNU5F-3P	ENSG00000200637
ENSG00000266846	AP001021.2	ENSG00000266846
ENSG00000264707	L3MBTL4-AS1	ENSG00000264707
ENSG00000283532	MIR4317	ENSG00000283532
ENSG00000279885	AP005060.1	ENSG00000279885
ENSG00000199272	RNU6-349P	ENSG00000199272
ENSG00000235552	AP005202.1	ENSG00000235552
ENSG00000266065	AP005202.3	ENSG00000266065
ENSG00000265944	LINC01387	ENSG00000265944
ENSG00000265174	AP005202.2	ENSG00000265174
ENSG00000243591	RN7SL282P	ENSG00000243591
ENSG00000261627	AP005205.1	ENSG00000261627
ENSG00000279479	AP005205.3	ENSG00000279479
ENSG00000266441	AP005205.2	ENSG00000266441
ENSG00000088756	ARHGAP28	ENSG00000088756
ENSG00000263797	AP005210.1	ENSG00000263797
ENSG00000265933	LINC00668	ENSG00000265933
ENSG00000264127	SCML2P1	ENSG00000264127
ENSG00000251897	RNU6-916P	ENSG00000251897
ENSG00000101680	LAMA1	ENSG00000101680
ENSG00000265069	AP002409.1	ENSG00000265069
ENSG00000264475	AP005062.1	ENSG00000264475
ENSG00000263716	SLC25A51P2	ENSG00000263716
ENSG00000206422	LRRC30	ENSG00000206422
ENSG00000212626	SNORA48	ENSG00000212626
ENSG00000173482	PTPRM	ENSG00000173482
ENSG00000266767	AP000897.2	ENSG00000266767
ENSG00000264596	AP000897.1	ENSG00000264596
ENSG00000199856	U3	ENSG00000199856
ENSG00000273368	AC006566.1	ENSG00000273368
ENSG00000266149	AP001094.3	ENSG00000266149
ENSG00000265413	AP001094.2	ENSG00000265413
ENSG00000263970	AP001094.1	ENSG00000263970
ENSG00000266613	AP001094.4	ENSG00000266613
ENSG00000242985	RN7SL50P	ENSG00000242985
ENSG00000229442	THEMIS3P	ENSG00000229442
ENSG00000225212	AP001793.1	ENSG00000225212
ENSG00000206418	RAB12	ENSG00000206418
ENSG00000266708	AP001793.2	ENSG00000266708
ENSG00000263935	TOMM20P3	ENSG00000263935
ENSG00000265962	GACAT2	ENSG00000265962
ENSG00000168502	MTCL1	ENSG00000168502
ENSG00000252319	Y_RNA	ENSG00000252319
ENSG00000272788	AP000864.1	ENSG00000272788
ENSG00000242058	RPS4XP19	ENSG00000242058
ENSG00000178127	NDUFV2	ENSG00000178127
ENSG00000265257	AP005263.1	ENSG00000265257
ENSG00000263847	AP005899.1	ENSG00000263847
ENSG00000266053	NDUFV2-AS1	ENSG00000266053
ENSG00000101745	ANKRD12	ENSG00000101745
ENSG00000200883	Y_RNA	ENSG00000200883
ENSG00000207092	Y_RNA	ENSG00000207092
ENSG00000273284	AP001033.2	ENSG00000273284
ENSG00000264964	AP001033.1	ENSG00000264964
ENSG00000128791	TWSG1	ENSG00000128791
ENSG00000273335	AP005432.2	ENSG00000273335
ENSG00000017797	RALBP1	ENSG00000017797
ENSG00000266805	AP005432.1	ENSG00000266805
ENSG00000251994	RNU2-27P	ENSG00000251994
ENSG00000154845	PPP4R1	ENSG00000154845
ENSG00000266541	AP001381.1	ENSG00000266541
ENSG00000263627	PPP4R1-AS1	ENSG00000263627
ENSG00000212572	RNU6-903P	ENSG00000212572
ENSG00000264644	KRT18P8	ENSG00000264644
ENSG00000168461	RAB31	ENSG00000168461
ENSG00000266891	AP000902.1	ENSG00000266891
ENSG00000266127	ZNF415P1	ENSG00000266127
ENSG00000242651	RN7SL862P	ENSG00000242651
ENSG00000252680	RNA5SP449	ENSG00000252680
ENSG00000265564	PIGPP4	ENSG00000265564
ENSG00000168454	TXNDC2	ENSG00000168454
ENSG00000272799	AC006238.1	ENSG00000272799
ENSG00000101558	VAPA	ENSG00000101558
ENSG00000223138	RNA5SP450	ENSG00000223138
ENSG00000265554	AP005271.1	ENSG00000265554
ENSG00000264876	AP005209.1	ENSG00000264876
ENSG00000266102	AP006219.1	ENSG00000266102
ENSG00000260913	LINC01254	ENSG00000260913
ENSG00000154856	APCDD1	ENSG00000154856
ENSG00000134265	NAPG	ENSG00000134265
ENSG00000265728	AP001099.1	ENSG00000265728
ENSG00000266604	LINC01887	ENSG00000266604
ENSG00000264503	AP001180.3	ENSG00000264503
ENSG00000264311	CCDC58P1	ENSG00000264311
ENSG00000264072	AP001180.2	ENSG00000264072
ENSG00000266470	AP001180.6	ENSG00000266470
ENSG00000265038	AP001180.5	ENSG00000265038
ENSG00000260779	AP001180.1	ENSG00000260779
ENSG00000154864	PIEZO2	ENSG00000154864
ENSG00000264843	AP001180.4	ENSG00000264843
ENSG00000264714	AP005117.1	ENSG00000264714
ENSG00000274838	MIR6788	ENSG00000274838
ENSG00000263952	AP005120.1	ENSG00000263952
ENSG00000263682	AP005139.1	ENSG00000263682
ENSG00000267051	AP005229.1	ENSG00000267051
ENSG00000273119	AP005229.2	ENSG00000273119
ENSG00000267564	AP001109.1	ENSG00000267564
ENSG00000267425	LINC01928	ENSG00000267425
ENSG00000267252	LINC01255	ENSG00000267252
ENSG00000267371	AP001017.1	ENSG00000267371
ENSG00000236396	SLC35G4	ENSG00000236396
ENSG00000267794	AP001120.4	ENSG00000267794
ENSG00000257513	NPIPB1P	ENSG00000257513
ENSG00000267143	AP001120.2	ENSG00000267143
ENSG00000267773	AP001120.3	ENSG00000267773
ENSG00000283492	MIR7153	ENSG00000283492
ENSG00000260759	AP001120.1	ENSG00000260759
ENSG00000141404	GNAL	ENSG00000141404
ENSG00000267333	ASNSP6	ENSG00000267333
ENSG00000267455	AP005137.1	ENSG00000267455
ENSG00000255112	CHMP1B	ENSG00000255112
ENSG00000267165	CHMP1B-AS1	ENSG00000267165
ENSG00000272703	AP005137.2	ENSG00000272703
ENSG00000154889	MPPE1	ENSG00000154889
ENSG00000273141	AP001269.4	ENSG00000273141
ENSG00000267079	AP001269.2	ENSG00000267079
ENSG00000267661	AP001269.3	ENSG00000267661
ENSG00000141401	IMPA2	ENSG00000141401
ENSG00000266955	AP001269.1	ENSG00000266955
ENSG00000267480	AP001542.3	ENSG00000267480
ENSG00000266995	AP001542.1	ENSG00000266995
ENSG00000267292	AP001542.2	ENSG00000267292
ENSG00000212712	AP002414.1	ENSG00000212712
ENSG00000267533	AP002414.4	ENSG00000267533
ENSG00000256616	AP002414.2	ENSG00000256616
ENSG00000267722	AP002414.5	ENSG00000267722
ENSG00000267478	AP002414.3	ENSG00000267478
ENSG00000181626	ANKRD62	ENSG00000181626
ENSG00000200827	RNU6-324P	ENSG00000200827
ENSG00000267162	SDHDP1	ENSG00000267162
ENSG00000267116	AP005264.2	ENSG00000267116
ENSG00000279285	AP005264.7	ENSG00000279285
ENSG00000267643	AP005264.4	ENSG00000267643
ENSG00000267733	AP005264.6	ENSG00000267733
ENSG00000267076	CCDC58P3	ENSG00000267076
ENSG00000267247	AP005264.3	ENSG00000267247
ENSG00000267663	AP005264.5	ENSG00000267663
ENSG00000176194	CIDEA	ENSG00000176194
ENSG00000280302	AP005264.8	ENSG00000280302
ENSG00000267069	AP005264.1	ENSG00000267069
ENSG00000199702	RNU6-170P	ENSG00000199702
ENSG00000176014	TUBB6	ENSG00000176014
ENSG00000141385	AFG3L2	ENSG00000141385
ENSG00000251937	RNU7-129P	ENSG00000251937
ENSG00000141391	PRELID3A	ENSG00000141391
ENSG00000267108	AP001029.1	ENSG00000267108
ENSG00000267199	AP001029.2	ENSG00000267199
ENSG00000134278	SPIRE1	ENSG00000134278
ENSG00000267515	AP001029.3	ENSG00000267515
ENSG00000128789	PSMG2	ENSG00000128789
ENSG00000101624	CEP76	ENSG00000101624
ENSG00000267249	AP005482.3	ENSG00000267249
ENSG00000266961	AP005482.2	ENSG00000266961
ENSG00000267654	LINC01882	ENSG00000267654
ENSG00000201466	Y_RNA	ENSG00000201466
ENSG00000260302	AP005482.1	ENSG00000260302
ENSG00000175354	PTPN2	ENSG00000175354
ENSG00000267570	STK25P1	ENSG00000267570
ENSG00000267336	EIF4A2P1	ENSG00000267336
ENSG00000085415	SEH1L	ENSG00000085415
ENSG00000266969	AP002449.1	ENSG00000266969
ENSG00000101639	CEP192	ENSG00000101639
ENSG00000267656	AP001357.2	ENSG00000267656
ENSG00000267032	AP001357.1	ENSG00000267032
ENSG00000267286	AP001198.2	ENSG00000267286
ENSG00000267239	AP001198.1	ENSG00000267239
ENSG00000168675	LDLRAD4	ENSG00000168675
ENSG00000267177	AP002505.1	ENSG00000267177
ENSG00000279020	C18orf15	ENSG00000279020
ENSG00000279275	AP002505.2	ENSG00000279275
ENSG00000267393	AP002439.1	ENSG00000267393
ENSG00000267690	LDLRAD4-AS1	ENSG00000267690
ENSG00000266146	MIR5190	ENSG00000266146
ENSG00000267694	AP005131.5	ENSG00000267694
ENSG00000267529	AP005131.4	ENSG00000267529
ENSG00000267702	AP005131.6	ENSG00000267702
ENSG00000267366	AP005131.2	ENSG00000267366
ENSG00000267136	AP005131.1	ENSG00000267136
ENSG00000272746	AP005131.7	ENSG00000272746
ENSG00000267503	AP005131.3	ENSG00000267503
ENSG00000263527	MIR4526	ENSG00000263527
ENSG00000266954	AP001010.1	ENSG00000266954
ENSG00000177150	FAM210A	ENSG00000177150
ENSG00000279962	AP001525.1	ENSG00000279962
ENSG00000242707	RN7SL362P	ENSG00000242707
ENSG00000101654	RNMT	ENSG00000101654
ENSG00000176136	MC5R	ENSG00000176136
ENSG00000185231	MC2R	ENSG00000185231
ENSG00000243779	AP001086.1	ENSG00000243779
ENSG00000279352	AC006557.6	ENSG00000279352
ENSG00000270469	AC006557.5	ENSG00000270469
ENSG00000175322	ZNF519	ENSG00000175322
ENSG00000267756	AC006557.4	ENSG00000267756
ENSG00000267150	AC006557.1	ENSG00000267150
ENSG00000267356	AC006557.3	ENSG00000267356
ENSG00000267704	FRG2LP	ENSG00000267704
ENSG00000267324	AC006557.2	ENSG00000267324
ENSG00000175319	NF1P5	ENSG00000175319
ENSG00000186481	ANKRD20A5P	ENSG00000186481
ENSG00000212329	RNU6-316P	ENSG00000212329
ENSG00000266145	AP001004.1	ENSG00000266145
ENSG00000283294	AP005212.5	ENSG00000283294
ENSG00000274214	AP005212.3	ENSG00000274214
ENSG00000265787	CYP4F35P	ENSG00000265787
ENSG00000277743	AP005212.4	ENSG00000277743
ENSG00000265437	AP005212.2	ENSG00000265437
ENSG00000187589	TERF1P2	ENSG00000187589
ENSG00000265296	AP005212.1	ENSG00000265296
ENSG00000266605	AP006261.1	ENSG00000266605
ENSG00000265766	CXADRP3	ENSG00000265766
ENSG00000266242	GRAMD4P7	ENSG00000266242
ENSG00000183206	POTEC	ENSG00000183206
ENSG00000200132	RNU6-1021P	ENSG00000200132
ENSG00000265340	OR4K7P	ENSG00000265340
ENSG00000266693	OR4K8P	ENSG00000266693
ENSG00000264570	AP005058.1	ENSG00000264570
ENSG00000273732	VN1R74P	ENSG00000273732
ENSG00000276318	GTF2IP8	ENSG00000276318
ENSG00000180777	ANKRD30B	ENSG00000180777
ENSG00000200645	RNU6-1210P	ENSG00000200645
ENSG00000265737	AP006565.1	ENSG00000265737
ENSG00000265499	MIR3156-2	ENSG00000265499
ENSG00000265786	LINC01906	ENSG00000265786
ENSG00000264061	FGF7P1	ENSG00000264061
ENSG00000263618	AP005121.1	ENSG00000263618
ENSG00000266554	LINC01443	ENSG00000266554
ENSG00000264301	LINC01444	ENSG00000264301
ENSG00000263821	AP005121.2	ENSG00000263821
ENSG00000279042	AP005242.4	ENSG00000279042
ENSG00000266522	AP005242.2	ENSG00000266522
ENSG00000278923	AP005242.3	ENSG00000278923
ENSG00000263635	AP005242.1	ENSG00000263635
ENSG00000264880	AP005901.2	ENSG00000264880
ENSG00000265015	AP005901.3	ENSG00000265015
ENSG00000265631	AP005901.4	ENSG00000265631
ENSG00000266818	AP005901.5	ENSG00000266818
ENSG00000215512	AP005901.1	ENSG00000215512
ENSG00000222087	RNU6-721P	ENSG00000222087
ENSG00000067900	ROCK1	ENSG00000067900
ENSG00000244527	AC022795.1	ENSG00000244527
ENSG00000251886	RNU6-120P	ENSG00000251886
ENSG00000263748	EXOGP1	ENSG00000263748
ENSG00000265984	AC022809.1	ENSG00000265984
ENSG00000141449	GREB1L	ENSG00000141449
ENSG00000265948	AC015878.2	ENSG00000265948
ENSG00000265751	AC015878.1	ENSG00000265751
ENSG00000221139	SNORD23	ENSG00000221139
ENSG00000141446	ESCO1	ENSG00000141446
ENSG00000167088	SNRPD1	ENSG00000167088
ENSG00000158201	ABHD3	ENSG00000158201
ENSG00000264188	AC106037.1	ENSG00000264188
ENSG00000265656	AC106037.2	ENSG00000265656
ENSG00000221493	MIR320C1	ENSG00000221493
ENSG00000101752	MIB1	ENSG00000101752
ENSG00000252677	SNORA81	ENSG00000252677
ENSG00000200750	Y_RNA	ENSG00000200750
ENSG00000242971	RN7SL233P	ENSG00000242971
ENSG00000199977	SNORA73	ENSG00000199977
ENSG00000265142	MIR133A1HG	ENSG00000265142
ENSG00000283927	MIR133A1	ENSG00000283927
ENSG00000284453	MIR1-2	ENSG00000284453
ENSG00000243303	AC103987.1	ENSG00000243303
ENSG00000264149	AC103987.2	ENSG00000264149
ENSG00000252325	RNU6-1038P	ENSG00000252325
ENSG00000264289	AC103987.3	ENSG00000264289
ENSG00000222520	RNA5SP451	ENSG00000222520
ENSG00000265758	LINC01900	ENSG00000265758
ENSG00000263588	AC091043.1	ENSG00000263588
ENSG00000221363	RNU6ATAC20P	ENSG00000221363
ENSG00000266010	GATA6-AS1	ENSG00000266010
ENSG00000141448	GATA6	ENSG00000141448
ENSG00000264012	AC091588.1	ENSG00000264012
ENSG00000201852	RNU6-702P	ENSG00000201852
ENSG00000266283	AC091588.3	ENSG00000266283
ENSG00000264825	AC091588.2	ENSG00000264825
ENSG00000273348	AC027449.1	ENSG00000273348
ENSG00000212710	CTAGE1	ENSG00000212710
ENSG00000270855	AC099849.1	ENSG00000270855
ENSG00000239490	RPS4XP18	ENSG00000239490
ENSG00000206827	RNU6-1032P	ENSG00000206827
ENSG00000265943	AC090912.1	ENSG00000265943
ENSG00000266850	AC090912.2	ENSG00000266850
ENSG00000101773	RBBP8	ENSG00000101773
ENSG00000273232	AC090912.3	ENSG00000273232
ENSG00000265939	AC091147.1	ENSG00000265939
ENSG00000284331	MIR4741	ENSG00000284331
ENSG00000242182	RN7SL745P	ENSG00000242182
ENSG00000223023	Y_RNA	ENSG00000223023
ENSG00000134508	CABLES1	ENSG00000134508
ENSG00000134490	TMEM241	ENSG00000134490
ENSG00000266495	AC011731.1	ENSG00000266495
ENSG00000101782	RIOK3	ENSG00000101782
ENSG00000199357	Y_RNA	ENSG00000199357
ENSG00000283084	AC026634.1	ENSG00000283084
ENSG00000141452	C18orf8	ENSG00000141452
ENSG00000141458	NPC1	ENSG00000141458
ENSG00000199366	Y_RNA	ENSG00000199366
ENSG00000154065	ANKRD29	ENSG00000154065
ENSG00000267752	AC067796.1	ENSG00000267752
ENSG00000053747	LAMA3	ENSG00000053747
ENSG00000267301	RPL23AP77	ENSG00000267301
ENSG00000265752	AC010754.1	ENSG00000265752
ENSG00000168234	TTC39C	ENSG00000168234
ENSG00000264745	TTC39C-AS1	ENSG00000264745
ENSG00000265204	AC090772.2	ENSG00000265204
ENSG00000264924	AC090772.1	ENSG00000264924
ENSG00000206863	RNU5A-6P	ENSG00000206863
ENSG00000279332	AC090772.4	ENSG00000279332
ENSG00000154040	CABYR	ENSG00000154040
ENSG00000265750	AC090772.3	ENSG00000265750
ENSG00000141447	OSBPL1A	ENSG00000141447
ENSG00000199874	RNA5SP452	ENSG00000199874
ENSG00000273524	Metazoa_SRP	ENSG00000273524
ENSG00000206766	RNU6-435P	ENSG00000206766
ENSG00000212051	MIR320C2	ENSG00000212051
ENSG00000264365	AC023983.1	ENSG00000264365
ENSG00000273321	AC023983.2	ENSG00000273321
ENSG00000154059	IMPACT	ENSG00000154059
ENSG00000199636	Y_RNA	ENSG00000199636
ENSG00000265094	AC007922.2	ENSG00000265094
ENSG00000134489	HRH4	ENSG00000134489
ENSG00000264695	AC007922.1	ENSG00000264695
ENSG00000266489	AC007922.3	ENSG00000266489
ENSG00000266181	EIF4A3P1	ENSG00000266181
ENSG00000265485	LINC01915	ENSG00000265485
ENSG00000263553	AC022884.1	ENSG00000263553
ENSG00000266520	AC022884.2	ENSG00000266520
ENSG00000266809	AC022884.3	ENSG00000266809
ENSG00000266573	AC018697.1	ENSG00000266573
ENSG00000264345	LINC01894	ENSG00000264345
ENSG00000229248	AC104961.1	ENSG00000229248
ENSG00000265552	AC104961.2	ENSG00000265552
ENSG00000198795	ZNF521	ENSG00000198795
ENSG00000279439	AC105114.1	ENSG00000279439
ENSG00000264434	AC110603.1	ENSG00000264434
ENSG00000242216	RN7SL97P	ENSG00000242216
ENSG00000264193	AC027229.1	ENSG00000264193
ENSG00000141380	SS18	ENSG00000141380
ENSG00000243925	AC091021.1	ENSG00000243925
ENSG00000154611	PSMA8	ENSG00000154611
ENSG00000188985	DHFRP1	ENSG00000188985
ENSG00000266227	AC016839.1	ENSG00000266227
ENSG00000141384	TAF4B	ENSG00000141384
ENSG00000263829	FAM60BP	ENSG00000263829
ENSG00000266237	AC121320.1	ENSG00000266237
ENSG00000264911	AC022069.1	ENSG00000264911
ENSG00000207160	RNU6-1289P	ENSG00000207160
ENSG00000263862	LINC01543	ENSG00000263862
ENSG00000134504	KCTD1	ENSG00000134504
ENSG00000277534	AC007996.1	ENSG00000277534
ENSG00000275805	AC090206.1	ENSG00000275805
ENSG00000276221	MIR8057	ENSG00000276221
ENSG00000263846	CIAPIN1P	ENSG00000263846
ENSG00000260372	AQP4-AS1	ENSG00000260372
ENSG00000265369	PCAT18	ENSG00000265369
ENSG00000263677	AC012588.1	ENSG00000263677
ENSG00000275900	U3	ENSG00000275900
ENSG00000263382	AC018371.1	ENSG00000263382
ENSG00000266184	AC018371.2	ENSG00000266184
ENSG00000171885	AQP4	ENSG00000171885
ENSG00000154080	CHST9	ENSG00000154080
ENSG00000266549	AC023575.1	ENSG00000266549
ENSG00000265374	LINC01908	ENSG00000265374
ENSG00000264151	AC090403.1	ENSG00000264151
ENSG00000264790	AC021382.2	ENSG00000264790
ENSG00000244329	AC021382.1	ENSG00000244329
ENSG00000263611	AC068408.2	ENSG00000263611
ENSG00000265097	RBM22P1	ENSG00000265097
ENSG00000263405	AC068408.1	ENSG00000263405
ENSG00000170558	CDH2	ENSG00000170558
ENSG00000227279	AC110015.1	ENSG00000227279
ENSG00000274578	AC006249.1	ENSG00000274578
ENSG00000266296	AC027141.1	ENSG00000266296
ENSG00000265994	AC023932.1	ENSG00000265994
ENSG00000271238	AC023932.2	ENSG00000271238
ENSG00000251719	RNU6-408P	ENSG00000251719
ENSG00000266479	AC105245.1	ENSG00000266479
ENSG00000265980	AC074237.1	ENSG00000265980
ENSG00000264587	AC117569.1	ENSG00000264587
ENSG00000283218	MIR302F	ENSG00000283218
ENSG00000266196	AC090506.1	ENSG00000266196
ENSG00000279734	AC090506.2	ENSG00000279734
ENSG00000265670	AC016382.1	ENSG00000265670
ENSG00000251702	RNU6-857P	ENSG00000251702
ENSG00000134762	DSC3	ENSG00000134762
ENSG00000134755	DSC2	ENSG00000134755
ENSG00000265888	DSCAS	ENSG00000265888
ENSG00000134765	DSC1	ENSG00000134765
ENSG00000263698	AC012417.1	ENSG00000263698
ENSG00000134760	DSG1	ENSG00000134760
ENSG00000266729	DSG1-AS1	ENSG00000266729
ENSG00000207019	RNU6-167P	ENSG00000207019
ENSG00000175065	DSG4	ENSG00000175065
ENSG00000207240	Y_RNA	ENSG00000207240
ENSG00000134757	DSG3	ENSG00000134757
ENSG00000266521	AC021549.1	ENSG00000266521
ENSG00000046604	DSG2	ENSG00000046604
ENSG00000264859	DSG2-AS1	ENSG00000264859
ENSG00000118271	TTR	ENSG00000118271
ENSG00000118276	B4GALT6	ENSG00000118276
ENSG00000259985	AC017100.1	ENSG00000259985
ENSG00000200472	RN7SKP44	ENSG00000200472
ENSG00000265158	LRRC37A7P	ENSG00000265158
ENSG00000263772	AC017100.2	ENSG00000263772
ENSG00000141437	SLC25A52	ENSG00000141437
ENSG00000153339	TRAPPC8	ENSG00000153339
ENSG00000263924	AC022960.1	ENSG00000263924
ENSG00000276486	AC022960.3	ENSG00000276486
ENSG00000276282	AC022960.2	ENSG00000276282
ENSG00000222320	RNU6-1050P	ENSG00000222320
ENSG00000263823	AC009831.1	ENSG00000263823
ENSG00000265273	AC009831.2	ENSG00000265273
ENSG00000266105	AC009831.3	ENSG00000266105
ENSG00000280380	AC009831.5	ENSG00000280380
ENSG00000101695	RNF125	ENSG00000101695
ENSG00000263917	AC011825.3	ENSG00000263917
ENSG00000274275	AC009831.4	ENSG00000274275
ENSG00000214917	AC011825.1	ENSG00000214917
ENSG00000265008	AC011825.4	ENSG00000265008
ENSG00000134758	RNF138	ENSG00000134758
ENSG00000263393	AC011825.2	ENSG00000263393
ENSG00000141441	GAREM1	ENSG00000141441
ENSG00000199373	RNA5SP453	ENSG00000199373
ENSG00000141434	MEP1B	ENSG00000141434
ENSG00000265279	CLUHP6	ENSG00000265279
ENSG00000263904	AC015563.1	ENSG00000263904
ENSG00000222395	Y_RNA	ENSG00000222395
ENSG00000264982	AC015563.2	ENSG00000264982
ENSG00000262477	AC021224.1	ENSG00000262477
ENSG00000215492	HNRNPA1P7	ENSG00000215492
ENSG00000260389	WBP11P1	ENSG00000260389
ENSG00000263688	AC025887.1	ENSG00000263688
ENSG00000197705	KLHL14	ENSG00000197705
ENSG00000228835	AC012123.1	ENSG00000228835
ENSG00000243355	AC012123.2	ENSG00000243355
ENSG00000263765	AC090371.2	ENSG00000263765
ENSG00000166960	CCDC178	ENSG00000166960
ENSG00000263450	AC090371.1	ENSG00000263450
ENSG00000267642	AC091198.1	ENSG00000267642
ENSG00000141431	ASXL3	ENSG00000141431
ENSG00000101746	NOL4	ENSG00000101746
ENSG00000199204	Y_RNA	ENSG00000199204
ENSG00000280406	AC104985.3	ENSG00000280406
ENSG00000267746	AC104985.1	ENSG00000267746
ENSG00000278052	AC104985.2	ENSG00000278052
ENSG00000134769	DTNA	ENSG00000134769
ENSG00000267585	AC013290.1	ENSG00000267585
ENSG00000268873	AC022601.1	ENSG00000268873
ENSG00000278464	AC068506.1	ENSG00000278464
ENSG00000166974	MAPRE2	ENSG00000166974
ENSG00000280096	AC015967.2	ENSG00000280096
ENSG00000274400	AC015967.1	ENSG00000274400
ENSG00000186812	ZNF397	ENSG00000186812
ENSG00000186814	ZSCAN30	ENSG00000186814
ENSG00000279989	AC011815.3	ENSG00000279989
ENSG00000274184	AC011815.2	ENSG00000274184
ENSG00000268573	AC011815.1	ENSG00000268573
ENSG00000257267	ZNF271P	ENSG00000257267
ENSG00000274918	AC116447.1	ENSG00000274918
ENSG00000172466	ZNF24	ENSG00000172466
ENSG00000186496	ZNF396	ENSG00000186496
ENSG00000239683	AC007998.1	ENSG00000239683
ENSG00000275512	AC007998.4	ENSG00000275512
ENSG00000267583	AC007998.3	ENSG00000267583
ENSG00000267140	AC007998.2	ENSG00000267140
ENSG00000153391	INO80C	ENSG00000153391
ENSG00000279074	AC007998.5	ENSG00000279074
ENSG00000141429	GALNT1	ENSG00000141429
